+----------------------------------+---------+---------+---------+---------+---------+---------+---------+----------+-------------------------+
|      Word//word combination      | Score 1 | Score 2 | Score 3 | Score 4 | Score 5 | Score 6 | Score 7 | My score | Average sentiment score |
|           австр≥йський           |    0    |    1    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|            австр≥йц≥             |    0    |    0    |    1    |    2    |    0    |    0    |    0    |    1     |           0,50          |
|             јвстр≥€              |    1    |    2    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           1,00          |
|           автентичний            |    0    |    0    |    0    |    1    |    Ч    |    Ч    |    Ч    |    2     |           0,60          |
|          автентичн≥сть           |    1    |    2    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,80          |
|             авт≥вка              |    0    |    0    |    -1   |    0    |    0    |    0    |    2    |    1     |           0,25          |
|               авто               |    1    |    0    |    2    |    1    |    1    |    1    |    1    |    2     |           1,13          |
|            автоавар≥€            |    -2   |    -2   |    -2   |    -2   |    Ч    |    Ч    |    Ч    |    -2    |          -2,00          |
|          автоб≥ограф≥€           |    0    |    1    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|             автобус              |    1    |    0    |    -1   |    0    |    0    |    0    |    1    |    1     |           0,25          |
|            автобусний            |    0    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,20          |
|           автовиробник           |    1    |    1    |    0    |    1    |    Ч    |    Ч    |    Ч    |    1     |           0,80          |
|           автовласник            |    0    |    0    |    1    |    1    |    Ч    |    Ч    |    Ч    |    1     |           0,60          |
|            автовокзал            |    0    |    0    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|             автограф             |    0    |    0    |    1    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,40          |
|             автозак              |    0    |    0    |    0    |    0    |    Ч    |    Ч    |    Ч    |    1     |           0,20          |
|           автозаправка           |    1    |    1    |    1    |    1    |    Ч    |    Ч    |    Ч    |    1     |           1,00          |
